month,line,division,terminal otp,num_sched_trips,,,,month-number
2015-04,7,A DIVISION,0.797186489,13293,2015,04,04/2015,42095
2015-04,A,B DIVISION,0.712515489,8070,2015,04,04/2015,42095
2015-04,B,B DIVISION,0.815092674,4532,2015,04,04/2015,42095
2015-04,C,B DIVISION,0.858488399,4353,2015,04,04/2015,42095
2015-04,D,B DIVISION,0.784071404,5826,2015,04,04/2015,42095
2015-04,E,B DIVISION,0.716421343,8696,2015,04,04/2015,42095
2015-04,F,B DIVISION,0.622852042,8962,2015,04,04/2015,42095
2015-04,G,B DIVISION,0.648767034,6164,2015,04,04/2015,42095
2015-04,JZ,B DIVISION,0.795265088,5998,2015,04,04/2015,42095
2015-04,L,B DIVISION,0.924017791,10792,2015,04,04/2015,42095
2015-04,M,B DIVISION,0.725734792,5852,2015,04,04/2015,42095
2015-04,N,B DIVISION,0.730023801,5882,2015,04,04/2015,42095
2015-04,Q,B DIVISION,0.782926001,5892,2015,04,04/2015,42095
2015-04,R,B DIVISION,0.601632522,6248,2015,04,04/2015,42095
2015-04,S 42nd,A DIVISION,0.992621359,12875,2015,04,04/2015,42095
2015-04,S Fkln,B DIVISION,0.998454405,2588,2015,04,04/2015,42095
2015-04,S Rock,B DIVISION,0.961081081,3700,2015,04,04/2015,42095
2015-05,1,A DIVISION,0.786623851,9031,2015,05,05/2015,42125
2015-05,2,A DIVISION,0.443007276,6185,2015,05,05/2015,42125
2015-05,3,A DIVISION,0.670879842,6092,2015,05,05/2015,42125
2015-05,4,A DIVISION,0.416167665,7348,2015,05,05/2015,42125
2015-05,5,A DIVISION,0.402022947,6624,2015,05,05/2015,42125
2015-05,6,A DIVISION,0.499821588,11210,2015,05,05/2015,42125
2015-05,7,A DIVISION,0.8327258,12345,2015,05,05/2015,42125
2015-05,A,B DIVISION,0.673497082,7369,2015,05,05/2015,42125
2015-05,B,B DIVISION,0.771359223,4120,2015,05,05/2015,42125
2015-05,C,B DIVISION,0.79425,4000,2015,05,05/2015,42125
2015-05,D,B DIVISION,0.751179913,5297,2015,05,05/2015,42125
2015-05,E,B DIVISION,0.667804755,7908,2015,05,05/2015,42125
2015-05,F,B DIVISION,0.59442804,7789,2015,05,05/2015,42125
2015-05,G,B DIVISION,0.66767803,5603,2015,05,05/2015,42125
2015-05,JZ,B DIVISION,0.721488816,5454,2015,05,05/2015,42125
2015-05,L,B DIVISION,0.952670387,10036,2015,05,05/2015,42125
2015-05,M,B DIVISION,0.679323308,5320,2015,05,05/2015,42125
2015-05,N,B DIVISION,0.648496241,5320,2015,05,05/2015,42125
2015-05,Q,B DIVISION,0.68422889,5732,2015,05,05/2015,42125
2015-05,R,B DIVISION,0.553169014,5680,2015,05,05/2015,42125
2015-05,S 42nd,A DIVISION,0.970360825,11640,2015,05,05/2015,42125
2015-05,S Fkln,B DIVISION,1,2360,2015,05,05/2015,42125
2015-05,S Rock,B DIVISION,0.944811038,3334,2015,05,05/2015,42125
2015-06,1,A DIVISION,0.806828482,9929,2015,06,06/2015,42156
2015-06,2,A DIVISION,0.426690079,6834,2015,06,06/2015,42156
2015-06,3,A DIVISION,0.686693301,6508,2015,06,06/2015,42156
2015-06,4,A DIVISION,0.431144964,8271,2015,06,06/2015,42156
2015-06,5,A DIVISION,0.403638908,7145,2015,06,06/2015,42156
2015-06,6,A DIVISION,0.474181411,12491,2015,06,06/2015,42156
2015-06,7,A DIVISION,0.844374033,13571,2015,06,06/2015,42156
2015-06,A,B DIVISION,0.672821911,8069,2015,06,06/2015,42156
2015-06,B,B DIVISION,0.769196823,4532,2015,06,06/2015,42156
2015-06,C,B DIVISION,0.795909091,4400,2015,06,06/2015,42156
2015-06,D,B DIVISION,0.734077253,5825,2015,06,06/2015,42156
2015-06,E,B DIVISION,0.720777727,8692,2015,06,06/2015,42156
2015-06,F,B DIVISION,0.601026988,8374,2015,06,06/2015,42156
2015-06,G,B DIVISION,0.630656934,6165,2015,06,06/2015,42156
2015-06,JZ,B DIVISION,0.677935054,6005,2015,06,06/2015,42156
2015-06,L,B DIVISION,0.905284515,10843,2015,06,06/2015,42156
2015-06,M,B DIVISION,0.699931647,5852,2015,06,06/2015,42156
